operator_qid,operator_label,country_qid,country_label,website,headquarters,inception,ceo,employees,revenue,industry,logo,stock_exchange,dissolved
Q209039,China Southern Power Grid,Q148,People's Republic of China,http://www.csg.cn/,Huangpu District,2002-01-01T00:00:00Z,,,535549000000,electric power industry,,,
Q209078,State Grid Corporation of China,Q148,People's Republic of China,http://www.sgcc.com.cn/,Beijing,2002-12-01T00:00:00Z,Shu Yinbiao,1581000,2560254240000,electric power industry,,,
Q130314970,Electrosur,Q419,Peru,https://www.gob.pe/electrosur,,,,,,public utility,,,
Q28197109,National Grid Corporation of the Philippines,Q928,Philippines,https://www.ngcp.ph,Quezon City,2009-01-15T00:00:00Z,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/NGCP%20Logo.png,,
Q1749435,Polskie Sieci Elektroenergetyczne,Q36,Poland,https://www.pse.pl/home,Konstancin-Jeziorna,1990-01-01T00:00:00Z,,2318,2348000000,electric power industry,,,
Q111843687,E-REDES,Q45,Portugal,https://www.e-redes.pt,Lisbon,2021-01-01T00:00:00Z,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/E-REDES%20logo.webp,,
Q1862842,Redes Energéticas Nacionais,Q45,Portugal,http://www.ren.pt,Lisbon,1994-01-01T00:00:00Z,,641,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Redes%20Energ%C3%A9ticas%20Nacionais.svg,Euronext Lisbon,
Q750324,Transelectrica,Q218,Romania,http://www.transelectrica.ro/,Bucharest,2000-01-01T00:00:00Z,,2197,574000000,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Transelectrica.svg,,
Q3063197,FGC UES,Q159,Russia,http://www.fsk-ees.ru/eng/,Moscow,2002-01-01T00:00:00Z,,230000,249611000000,electric power industry,,London Stock Exchange,
Q18250047,Elektromreža Srbije,Q403,Serbia,http://ems.rs/,Belgrade,2005-07-01T00:00:00Z,,1624,,electric power industry,,,
Q134974256,Electricity Distribution and Supply Authority,Q1044,Sierra Leone,https://www.edsa.sl/,,,,,,,,,
Q117864256,Electricity Generation & Transmission Company,Q1044,Sierra Leone,https://egtc-sl.com,Freetown,,,,,electric power industry,,,
Q12776245,Slovenská elektrizačná prenosová sústava,Q214,Slovakia,https://www.sepsas.sk/,Bratislava,2002-01-21T00:00:00Z,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/SEPS%20Slovakia%20logo%20Slovak%20Transmission%20Operator%20logo.jpg,,
Q5358777,Elektro-Slovenija,Q215,Slovenia,https://www.eles.si/,Ljubljana,1991-01-01T00:00:00Z,,,,electric power industry,,,
Q1367885,Eskom,Q258,South Africa,https://www.eskom.co.za,Sandton,1923-03-01T00:00:00Z,,,,energy industry,http://commons.wikimedia.org/wiki/Special:FilePath/Esc%20logo%20wit.png,,
Q122929389,National Transmission Company of South Africa,Q258,South Africa,,Megawatt Park,,,,,,,,
Q1551220,Red Eléctrica de España,Q29,Spain,https://www.redeia.com/es,Alcobendas,1985-01-01T00:00:00Z,,2056,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Red%20El%C3%A9ctrica%20logo%202022.svg,Madrid Stock Exchange,
Q60687971,Fortum Sverige,Q34,Sweden,https://fortum.se,Stockholm,1906-05-20T00:00:00Z,,,,,,,
Q942801,Svenska Kraftnät,Q34,Sweden,https://www.svk.se/,Sundbyberg Municipality,1992-01-01T00:00:00Z,,591,,electric power industry,,,
Q3480520,Services Industriels de Genève,Q39,Switzerland,http://www.sig-ge.ch,Canton of Geneva,1896-01-01T00:00:00Z,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/SIG%20Gen%C3%A8ve%20logo.svg,,
Q108699173,Services industriels de Lausanne,Q39,Switzerland,,,1896-01-01T00:00:00Z,,,,,,,
Q2373251,Swissgrid,Q39,Switzerland,https://www.swissgrid.ch/,Aarau,2005-01-01T00:00:00Z,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Swissgrid-logo.svg,,
Q4050564,Tanzania Electric Supply Company Limited,Q924,Tanzania,https://www.tanesco.co.tz/,Dodoma,1964-01-01T00:00:00Z,,,,electric power industry,,,
Q6093056,TEİAŞ,Q43,Turkey,http://www.teias.gov.tr,Ankara,,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/TE%C4%B0A%C5%9E%20logo.svg,,
Q6097181,Turkish Electricity Distribution Corporation,Q43,Turkey,http://www.tedas.gov.tr/,Ankara,1994-01-01T00:00:00Z,,,,,,,
Q12132842,National Power Company Ukrenergo,Q212,Ukraine,https://ua.energy/,Kyiv,1998-04-15T00:00:00Z,Vsevolod Kovalchuk,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/LOGOUKRENERGO%20NEV-%D1%83%D0%BA%D1%80-1.png,,
Q114567232,ESP Utilities Group,Q145,United Kingdom,https://espug.com/,Leatherhead,,,,,electric power distribution,,,
Q5357804,Electricity North West,Q145,United Kingdom,https://www.enwl.co.uk/,Warrington,2007-01-01T00:00:00Z,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/ENWL%20logo.jpg,,
Q114567327,Energetics,Q145,United Kingdom,https://energetics-uk.com/,Glasgow,,,,,,,,
Q115949299,NESO,Q145,United Kingdom,https://www.nationalgrideso.com/,,2017-01-01T00:00:00Z,,,,electric power industry,,,
Q130296594,National Energy System Operator,Q145,United Kingdom,https://www.neso.energy/,,2024-10-01T00:00:00Z,,,,electric power industry,,,
Q7988183,National Grid Electricity Distribution,Q145,United Kingdom,https://www.nationalgrid.co.uk/,Cardiff,1999-01-01T00:00:00Z,,,,,,,
Q1465461,National Grid plc,Q145,United Kingdom,https://nationalgrid.com,London,1990-01-01T00:00:00Z,Steve Holliday,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Nattygridlogo.svg,New York Stock Exchange,
Q7058492,Northern Ireland Electricity,Q145,United Kingdom,https://www.nienetworks.co.uk,Northern Ireland,1991-10-25T00:00:00Z,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/NIE%20Networks%20Logo.jpg,,
Q7058871,Northern Powergrid,Q145,United Kingdom,https://www.northernpowergrid.com/,Newcastle upon Tyne,1996-01-01T00:00:00Z,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/1356%20NPG%20New%20Logo%20Red%20187%209-5-2013%20No%20Strap.jpg,,
Q116022116,SP Energy Networks,Q145,United Kingdom,https://www.spenergynetworks.co.uk/,,,,,,,,,
Q43080530,Scottish and Southern Electricity Networks,Q145,United Kingdom,https://www.ssen.co.uk/,,,,,,,,,
Q7864927,UK Power Networks,Q145,United Kingdom,https://www.ukpowernetworks.co.uk,London,2010-01-01T00:00:00Z,,,,,,,
Q4705296,Alabama Power,Q30,United States,https://www.alabamapower.com/,Birmingham,1906-01-01T00:00:00Z,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Alabama%20Power%20new%20logo.svg,New York Stock Exchange,
Q4708622,Alaska Systems Coordinating Council,Q30,United States,,,,,,,electric power industry,,,
Q16850559,California Independent System Operator,Q30,United States,https://www.caiso.com/,Folsom,,,,,electric power industry,,,
Q5357475,Electric Reliability Council of Texas,Q30,United States,http://www.ercot.com,Taylor,1990-10-10T00:00:00Z,Bill Magness,,156561148,electric power industry,,,
Q5547666,Georgia Power,Q30,United States,http://www.georgiapower.com/,Atlanta,1902-01-01T00:00:00Z,,,,public utility,http://commons.wikimedia.org/wiki/Special:FilePath/Georgia%20Power%20logo.svg,New York Stock Exchange,
Q5974452,ISO New England,Q30,United States,https://www.iso-ne.com/,Holyoke,1997-01-01T00:00:00Z,,,,electric power industry,,,
Q17108791,Mississippi Power,Q30,United States,https://www.mississippipower.com/,Gulfport,1925-01-01T00:00:00Z,,,,public utility,http://commons.wikimedia.org/wiki/Special:FilePath/2016-MPC-Logo.png,New York Stock Exchange,
Q134973495,New York Independent System Operator,Q30,United States,,,,,,,electric power industry,,,
Q2000377,North American Electric Reliability Corporation,Q30,United States,https://www.nerc.com/,Atlanta,2006-03-30T00:00:00Z,,,,electric power industry,,,
Q25004450,PJM Interconnection,Q30,United States,https://www.pjm.com/,Valley Forge,,,,,electric power industry,,,
Q7414097,San Francisco Public Utilities Commission,Q30,United States,https://sfpuc.gov,,1932-01-01T00:00:00Z,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Francisco%20Public%20Utilities%20Commission%20logo.svg,,
Q7571339,Southwest Power Pool,Q30,United States,http://www.spp.org/,Little Rock,,,,129097375,electric power industry,,,
Q1131445,Copperbelt Energy Corporation,Q953,Zambia,https://www.cec.com.zm/,Nkana,1997-01-01T00:00:00Z,,,,electric power industry,,Lusaka Stock Exchange,
Q8063035,ZESCO,Q953,Zambia,https://www.zesco.co.zm/,Lusaka,1970-01-01T00:00:00Z,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/ZESCO%20Logo.jpg,,
